french,english
de,of
la,the
le,the
et,and
les,the
des,from
en,in
un,a
du,from
une,a
que,than
est,East
pour,for
qui,who
dans,in
a,at
par,by
plus,more
pas,not
au,to
sur,on
ne,born
se,be
Le,the
ce,this
il,he
sont,are
La,The
Les,The
ou,Where
avec,with
son,his
Il,He
aux,to
d'un,a
En,In
cette,that
d'une,a
ont,have
ses,his
mais,corn
comme,like
on,we
tout,all
nous,we
sa,her
Mais,Corn
fait,made
été,summer
aussi,too
leur,their
bien,good
peut,can
ces,those
y,Y
deux,of them
A,AT
ans,years
l,I
encore,again
n'est,is not
marché,Marlet
d,d
Pour,For
donc,so
cours,Classes
qu'il,he
moins,less
sans,without
C'est,This is
Et,And
si,if
entre,Between
Un,One
Ce,This
faire,make
elle,she
c'est,it's
peu,little
vous,you
Une,A
prix,price
On,We
dont,of which
lui,him
également,also
Dans,In
effet,effect
pays,country
cas,case
De,Of
millions,millions
Belgique,Belgium
BEF,Bef
mois,month
leurs,their
taux,rate
années,years
temps,time
groupe,group
ainsi,so
toujours,always
société,society
depuis,since
tous,all
soit,that is
faut,should
Bruxelles,Brussels
fois,times
quelques,some
sera,will be
entreprises,essence
F,F
contre,vs
francs,francs
je,I
n'a,n / A
Nous,We
Cette,That
dernier,last
était,was
Si,Yes
s'est,its
chez,at the house of
L,I
monde,world
alors,so
sous,under
actions,actions
autres,others
Au,At
ils,they
reste,just stay
trois,three
non,no
notre,our
doit,must
nouveau,new
milliards,billion
avant,before
exemple,example
compte,account
belge,Belgian
premier,first
s,s
nouvelle,New
Elle,She
l'on,we
terme,term
avait,had
